央视,#genre#
CCTV11,http://175.9.142.192:8888/udp/239.76.245.251:1234
CCTV12,http://175.9.142.192:8888/udp/239.76.246.162:1234
CCTV13,http://175.9.142.192:8888/udp/239.76.246.93:1234
CCTV14,http://175.9.142.192:8888/udp/239.76.246.164:1234
CCTV15,http://175.9.142.192:8888/udp/239.76.245.252:1234
CCTV16,http://175.9.142.192:8888/udp/239.76.246.98:1234
CCTV17,http://175.9.142.192:8888/udp/239.76.245.238:1234
CCTV16,http://175.9.142.192:8888/udp/239.76.246.214:1234
CCTV16,http://175.9.142.192:8888/udp/239.76.246.224:1234
CCTV16,http://175.9.142.192:8888/udp/239.76.246.230:1234
CCTV4,http://175.9.142.192:8888/udp/239.76.246.95:1234
CCTV4,http://175.9.142.192:8888/udp/239.76.246.96:1234
CCTV4,http://175.9.142.192:8888/udp/239.76.253.96:9000
CCTV4,http://175.9.142.192:8888/udp/239.76.253.95:9000
CCTV1,http://175.9.142.192:8888/udp/239.76.253.151:9000
CCTV2,http://175.9.142.192:8888/udp/239.76.253.152:9000
CCTV3,http://175.9.142.192:8888/udp/239.76.253.153:9000
CCTV4,http://175.9.142.192:8888/udp/239.76.253.154:9000
CCTV5,http://175.9.142.192:8888/udp/239.76.253.155:9000
CCTV5+,http://175.9.142.192:8888/udp/239.76.253.168:9000
CCTV6,http://175.9.142.192:8888/udp/239.76.253.156:9000
CCTV7,http://175.9.142.192:8888/udp/239.76.253.157:9000
CCTV8,http://175.9.142.192:8888/udp/239.76.253.158:9000
CCTV9,http://175.9.142.192:8888/udp/239.76.253.159:9000
CCTV10,http://175.9.142.192:8888/udp/239.76.253.160:9000
CCTV12,http://175.9.142.192:8888/udp/239.76.253.162:9000
CCTV13,http://175.9.142.192:8888/udp/239.76.253.93:9000
CCTV14,http://175.9.142.192:8888/udp/239.76.253.164:9000
CCTV16,http://175.9.142.192:8888/udp/239.76.253.98:9000
CCTV16,http://175.9.142.192:8888/udp/239.76.253.214:9000
CCTV16,http://175.9.142.192:8888/udp/239.76.254.200:9000
CCTV16,http://175.9.142.192:8888/udp/239.76.253.224:9000
CCTV16,http://175.9.142.192:8888/udp/239.76.253.230:9000
CCTV1,http://171.214.202.208:4000/udp/239.93.0.184:5140
CCTV2,http://171.214.202.208:4000/udp/239.93.1.23:6000
CCTV3,http://171.214.202.208:4000/udp/239.93.1.11:2223
CCTV4,http://171.214.202.208:4000/udp/239.93.1.105:5140
CCTV5,http://171.214.202.208:4000/udp/239.93.42.37:5140
CCTV6,http://171.214.202.208:4000/udp/239.93.1.13:2226
CCTV7,http://171.214.202.208:4000/udp/239.93.1.67:5140
CCTV8,http://171.214.202.208:4000/udp/239.93.42.39:5140
CCTV9,http://171.214.202.208:4000/udp/239.93.1.24:5140
CCTV10,http://171.214.202.208:4000/udp/239.93.1.28:5140
CCTV11,http://171.214.202.208:4000/udp/239.93.0.102:5140
CCTV12,http://171.214.202.208:4000/udp/239.93.1.30:8124
CCTV13,http://171.214.202.208:4000/udp/239.93.0.66:5140
CCTV少儿,http://171.214.202.208:4000/udp/239.93.1.29:6000
CCTV15,http://171.214.202.208:4000/udp/239.93.0.103:5140
CCTV17,http://171.214.202.208:4000/udp/239.93.0.92:5140
CCTV5,http://171.214.202.208:4000/udp/239.93.1.36:8004
CETV1,http://171.214.202.208:4000/udp/239.93.1.111:5140
CETV2,http://171.214.202.208:4000/udp/239.93.0.113:5140
CETV4,http://171.214.202.208:4000/udp/239.93.0.50:5140
CCTV1,http://171.214.202.208:4000/udp/239.93.0.148:5140
CCTV2,http://171.214.202.208:4000/udp/239.93.0.149:5140
CCTV3,http://171.214.202.208:4000/udp/239.93.0.150:5140
CCTV4,http://171.214.202.208:4000/udp/239.93.0.212:5140
CCTV5,http://171.214.202.208:4000/udp/239.93.0.158:5140
CCTV6,http://171.214.202.208:4000/udp/239.93.0.64:5140
CCTV7,http://171.214.202.208:4000/udp/239.93.0.79:5140
CCTV8,http://171.214.202.208:4000/udp/239.93.0.154:5140
CCTV9,http://171.214.202.208:4000/udp/239.93.1.64:5140
CCTV10,http://171.214.202.208:4000/udp/239.93.1.63:5140
CCTV11,http://171.214.202.208:4000/udp/239.93.0.170:5140
CCTV12,http://171.214.202.208:4000/udp/239.93.1.41:5140
CCTV新闻,http://171.214.202.208:4000/udp/239.93.0.187:5140
CCTV少儿画中,http://171.214.202.208:4000/udp/239.93.1.40:5140
CCTV音乐,http://171.214.202.208:4000/udp/239.93.0.171:5140
CCTV1,http://171.214.202.208:4000/udp/239.93.1.68:5140
CCTV1,http://171.214.202.208:4000/udp/239.93.1.87:5140
CCTV5,http://171.214.202.208:4000/udp/239.93.1.79:5140
CCTV2,http://171.214.202.208:4000/udp/239.93.1.69:5140
CCTV7,http://171.214.202.208:4000/udp/239.93.1.73:5140
CCTV8,http://171.214.202.208:4000/udp/239.93.1.74:5140
CCTV3,http://171.214.202.208:4000/udp/239.93.1.70:5140
CCTV5,http://171.214.202.208:4000/udp/239.93.1.71:5140
CCTV6,http://171.214.202.208:4000/udp/239.93.1.72:5140
CCTV9,http://171.214.202.208:4000/udp/239.93.1.75:5140
卫视,#genre#
河北卫视,http://111.225.115.13:808/tsfile/live/0019_1.m3u8
湖南卫视,http://111.225.115.13:808/tsfile/live/1010_1.m3u8
浙江卫视,http://111.225.115.13:808/tsfile/live/1011_1.m3u8
江苏卫视,http://111.225.115.13:808/tsfile/live/1012_1.m3u8
安徽卫视,http://111.225.115.13:808/tsfile/live/1013_1.m3u8
东南卫视,http://111.225.115.13:808/tsfile/live/1014_1.m3u8
北京卫视,http://111.225.115.13:808/tsfile/live/1015_1.m3u8
天津卫视,http://111.225.115.13:808/tsfile/live/1016_1.m3u8
辽宁卫视,http://111.225.115.13:808/tsfile/live/1017_1.m3u8
山东卫视,http://111.225.115.13:808/tsfile/live/1018_1.m3u8
河南卫视,http://111.225.115.13:808/tsfile/live/0119_1.m3u8
青海卫视,http://111.225.115.13:808/tsfile/live/0140_1.m3u8
内蒙古卫视,http://111.225.115.13:808/tsfile/live/0109_1.m3u8
贵州卫视,http://111.225.115.13:808/tsfile/live/1019_1.m3u8
深圳卫视,http://111.225.115.13:808/tsfile/live/1020_1.m3u8
湖北卫视,http://111.225.115.13:808/tsfile/live/1021_1.m3u8
东方卫视,http://111.225.115.13:808/tsfile/live/1022_1.m3u8
重庆卫视,http://111.225.115.13:808/tsfile/live/1023_1.m3u8
广东卫视,http://111.225.115.13:808/tsfile/live/1024_1.m3u8
